Day,Month,Year,PM2.5
12,12,2016,210.28
13,12,2016,209.91
14,12,2016,154.55
15,12,2016,167.64
16,12,2016,200.78
17,12,2016,229.35
18,12,2016,232.33
19,12,2016,236.24
20,12,2016,161.92
21,12,2016,131.95
22,12,2016,187.3
23,12,2016,364.15
24,12,2016,411.8
25,12,2016,232.41
26,12,2016,154.26
27,12,2016,213.2
28,12,2016,273.82
29,12,2016,339.96
30,12,2016,231.1
31,12,2016,211.16
1,1,2017,191.5
2,1,2017,247.79
3,1,2017,255.33
4,1,2017,248.01
5,1,2017,215.42
6,1,2017,194.12
7,1,2017,154.52
8,1,2017,136.98
9,1,2017,141.88
10,1,2017,108.26
11,1,2017,146.04
12,1,2017,216.73
13,1,2017,232.37
14,1,2017,309.28
15,1,2017,222.66
16,1,2017,188.08
17,1,2017,177.67
18,1,2017,218.63
19,1,2017,227.68
20,1,2017,217.55
21,1,2017,349.98
22,1,2017,286.6
23,1,2017,189.45
24,1,2017,230.94
25,1,2017,241.78
26,1,2017,135.87
27,1,2017,74.92
28,1,2017,109.13
29,1,2017,132.35
30,1,2017,166.71
31,1,2017,214.23
1,2,2017,136.02
2,2,2017,198.24
3,2,2017,194.99
4,2,2017,186.65
5,2,2017,146.49
6,2,2017,176.04
7,2,2017,77.85
8,2,2017,129.1
9,2,2017,133.12
10,2,2017,120.43
11,2,2017,129.09
12,2,2017,166.55
13,2,2017,130.62
14,2,2017,168.96
15,2,2017,183.98
16,2,2017,163.86
17,2,2017,112.02
18,2,2017,107.13
19,2,2017,109.38
20,2,2017,126.74
21,2,2017,106.92
22,2,2017,93.03
23,2,2017,182.29
24,2,2017,451.25
25,2,2017,425.22
26,2,2017,328.23
27,2,2017,178.5
28,2,2017,149.73
1,3,2017,127.9
2,3,2017,114.68
3,3,2017,67.83
4,3,2017,82.32
5,3,2017,90.6
6,3,2017,91.6
7,3,2017,112.41
8,3,2017,134.4
9,3,2017,106.45
10,3,2017,68.88
11,3,2017,37.49
12,3,2017,64.42
13,3,2017,74.58
14,3,2017,102.46
15,3,2017,112.71
16,3,2017,125.8
17,3,2017,114.07
18,3,2017,96.39
19,3,2017,120.43
20,3,2017,121.21
21,3,2017,128.51
22,3,2017,120.88
23,3,2017,151.17
24,3,2017,149.42
25,3,2017,168.23
26,3,2017,118.34
27,3,2017,156.38
28,3,2017,152.66
29,3,2017,113.62
30,3,2017,69.44
31,3,2017,91.19
1,4,2017,105.71
2,4,2017,83.36
3,4,2017,70.62
4,4,2017,84.4
5,4,2017,47.67
6,4,2017,62.44
7,4,2017,150.76
8,4,2017,151.25
9,4,2017,68.88
10,4,2017,129.15
11,4,2017,146.59
12,4,2017,107.69
13,4,2017,163.97
14,4,2017,184.69
15,4,2017,176.54
16,4,2017,175.23
17,4,2017,145.22
18,4,2017,152.84
19,4,2017,136.35
20,4,2017,152.99
21,4,2017,130.13
22,4,2017,110.54
23,4,2017,103.42
24,4,2017,99.09
25,4,2017,96.07
26,4,2017,72.31
27,4,2017,93.14
28,4,2017,109.36
29,4,2017,126.74
30,4,2017,80.81
1,5,2017,85.8
2,5,2017,198.2
3,5,2017,145.74
4,5,2017,109.91
5,5,2017,207.4
6,5,2017,204.56
7,5,2017,220.77
8,5,2017,183.82
9,5,2017,109.76
10,5,2017,74.42
11,5,2017,94.28
12,5,2017,216.96
13,5,2017,198.09
14,5,2017,121.76
15,5,2017,135.54
16,5,2017,123.21
17,5,2017,78.18
18,5,2017,126.04
19,5,2017,139.1
20,5,2017,233.82
21,5,2017,178.44
22,5,2017,110.1
23,5,2017,118.43
24,5,2017,107.37
25,5,2017,113.9
26,5,2017,103.75
27,5,2017,69.88
28,5,2017,40.33
29,5,2017,48.95
30,5,2017,63.27
31,5,2017,56.38
1,6,2017,95.23
2,6,2017,123.44
3,6,2017,122.2
4,6,2017,121.1
5,6,2017,71.89
6,6,2017,80.37
7,6,2017,40.87
8,6,2017,41.83
9,6,2017,66.73
10,6,2017,64.63
11,6,2017,43.02
12,6,2017,57.4
13,6,2017,48.6
14,6,2017,62
15,6,2017,80.14
16,6,2017,51.6
17,6,2017,41.96
18,6,2017,65.19
19,6,2017,60.9
20,6,2017,35.1
21,6,2017,58.27
22,6,2017,61.93
23,6,2017,44.08
24,6,2017,63.62
25,6,2017,76.1
26,6,2017,51.52
27,6,2017,36.62
28,6,2017,29.83
29,6,2017,22.98
30,6,2017,25.83
1,7,2017,43.35
2,7,2017,20.52
3,7,2017,46.71
4,7,2017,116.12
5,7,2017,50.81
6,7,2017,47.17
7,7,2017,41.42
8,7,2017,45.31
9,7,2017,58.46
10,7,2017,41.92
11,7,2017,33.04
12,7,2017,22.35
13,7,2017,22.44
14,7,2017,30.35
15,7,2017,32.02
16,7,2017,38.77
17,7,2017,33.56
18,7,2017,37.67
19,7,2017,55.96
20,7,2017,28.88
21,7,2017,23.12
22,7,2017,18.54
23,7,2017,22.65
24,7,2017,17.52
25,7,2017,22.17
26,7,2017,20.17
27,7,2017,24.42
28,7,2017,25.71
29,7,2017,27.25
30,7,2017,10.88
31,7,2017,17.1
1,8,2017,17.24
2,8,2017,27.56
3,8,2017,27.29
4,8,2017,42.65
5,8,2017,53.69
6,8,2017,61.44
7,8,2017,57.42
8,8,2017,36.58
9,8,2017,50.42
10,8,2017,48.6
11,8,2017,21.83
12,8,2017,48.6
13,8,2017,39.6
14,8,2017,26.54
15,8,2017,30.12
16,8,2017,35.23
17,8,2017,39.6
18,8,2017,46.25
19,8,2017,35.48
20,8,2017,22.15
21,8,2017,25.5
22,8,2017,46
23,8,2017,36.54
24,8,2017,47.79
25,8,2017,51.33
26,8,2017,62.33
