Unnamed: 0,T,TM,Tm,SLP,H,PP,VV,V,VM,PM2.5,Date
1962,39.2,45.0,27.4,995,25,0,2.9,6.7,14,74,2019-06-10
771,17.2,26.0,11.5,1014,65,0,2.3,5.7,14,110,2016-02-13
3043,34.7,41.0,28.7,996,47,0,2.9,9.1,14,150,2022-05-29
2994,31.9,42.4,23.5,1002,35,0,2.7,3.7,11,239,2022-04-10
1176,30.6,37.0,21.8,1009,41,0,3.1,13.1,27,156,2017-03-27
2912,11.1,16.1,8.5,1019,85,0,0.5,6.3,14,100,2022-01-18
1085,13.9,24.5,11.4,1015,95,0,0.6,8.7,14,232,2016-12-25
2227,21.9,27.6,14.4,1012,77,0,1.9,3.1,7,42,2020-03-01
1840,15.5,21.0,8.2,1017,78,0,1.9,8.3,18,204,2019-01-31
1325,31.1,35.0,27.2,999,76,-1,2.4,3.9,11,51,2017-08-25
2749,28.2,33.2,26.4,1002,91,14,1.9,2.0,9,41,2021-08-08
1867,14.3,21.0,9.5,1012,81,0,1.9,3.9,11,47,2019-02-27
2046,32.7,36.4,27.1,1000,69,0,2.7,4.3,11,46,2019-09-02
2297,27.7,40.9,23.0,1006,61,1,3.1,10.2,14,44,2020-05-10
1403,19.8,29.1,12.6,1014,74,0,1.0,0.0,-1,363,2017-11-11
2009,28.7,32.5,25.4,997,88,10,1.9,8.9,16,26,2019-07-27
2010,30.1,34.0,25.8,999,81,3,2.3,11.7,18,21,2019-07-28
2322,29.7,36.4,24.9,1002,66,0,1.9,6.9,18,68,2020-06-04
3225,16.8,27.2,7.9,1011,68,0,1.1,0.9,7,191,2022-11-27
1163,19.6,26.0,9.1,1016,50,0,2.7,6.5,22,102,2017-03-14
963,29.9,33.7,28.0,1002,81,-1,2.3,10.9,35,43,2016-08-24
3151,27.8,35.4,25.8,1003,86,0,1.9,8.5,14,203,2022-09-14
2369,26.3,32.6,23.5,1000,93,2,2.1,6.7,22,21,2020-07-21
398,14.6,23.1,11.3,1022,84,0,0.6,9.3,14,137,2015-02-04
584,27.5,30.8,25.0,1000,92,29,1.3,3.0,7,55,2015-08-09
948,31.2,36.7,28.0,997,75,-1,2.7,9.1,14,41,2016-08-09
704,17.8,26.2,11.0,1017,79,0,0.6,2.0,7,249,2015-12-07
431,18.1,24.1,13.3,1021,60,0,2.7,12.2,20,76,2015-03-09
